## created with
## $ xsv select 1,2,3,5,6,4 data/compiled/osha/raw/osha_data_dictionary.csv | csvlook

| table_name                  | column_name             | attribute_name                 | column_datatype          | display_name                   | definition                                                                                                                                                                                                                                                                           |
| osha_inspection             | insp_scope              | Inspection Scope               | Alphanumeric, Length:1   | Inspection Scope               | A=Complete.B=Partial.C=Records.D=NoInspection                                                                                                                                                                                                                                        |
| osha_inspection             | owner_type              | Owner Type                     | Alphanumeric, Length:1   | Owner Type                     | A=Private. B=LocalGovt. C=StateGovt. D=Federal                                                                                                                                                                                                                                       |
| osha_inspection             | site_city               | Site City                      | Alphanumeric, Length:30  | City                           | City of site inspected                                                                                                                                                                                                                                                               |
| osha_inspection             | close_case_date         | Case Closed Date               | Numeric, Length=8        | Case Closed                    | Close date of inspection (yyyymmdd)                                                                                                                                                                                                                                                  |
| osha_inspection             | close_conf_date         | Closing Conference Date        | Numeric, Length=8        | Conf Closed                    | Closing conference date (yyyymmdd)                                                                                                                                                                                                                                                   |
| osha_inspection             | estab_name              | Establishment Name             | Alphanumeric, Length:50  | Name                           | Establishment being inspected                                                                                                                                                                                                                                                        |
| osha_inspection             | health_const            | Health Construction            | Alphanumeric, Length:1   | Health Planning Guide Constr   | Health planning guide construction (X/blank)                                                                                                                                                                                                                                         |
| osha_inspection             | health_manuf            | Health Manufacturing           | Alphanumeric, Length:1   | Health Planning Guide Manuf    | Health planning guide manufacturing (X/blank)                                                                                                                                                                                                                                        |
| osha_inspection             | health_marit            | Health Maritime                | Alphanumeric, Length:1   | Health Planning Guide Maritime | Health planning guide maritime (X/blank)                                                                                                                                                                                                                                             |
| osha_inspection             | ld_dt                   | Load Date Timestamp            | date                     | No Label                       | Load Date Timestamp                                                                                                                                                                                                                                                                  |
| osha_inspection             | mail_city               | Mailing Address City           | Alphanumeric, Length:30  | Mailing Address City           | Mailing address city                                                                                                                                                                                                                                                                 |
| osha_inspection             | mail_zip                | Mailing Address Zip Code       | Numeric, Length:5        | Mailing Address Zip Code       | Mailing address postal zip code                                                                                                                                                                                                                                                      |
| osha_inspection             | mail_state              | Mailing Address State          | Alphanumeric, Length:2   | Mailing Address State          | Mailing address state postal abbreviation                                                                                                                                                                                                                                            |
| osha_inspection             | mail_street             | Mailing Street Address         | Alphanumeric, Length:50  | Mailing Street Address         | Mailing address street                                                                                                                                                                                                                                                               |
| osha_inspection             | migrant                 | Migrant                        | Alphanumeric, Length:1   | Migrant                        | Migrant labor inspection (X/blank)                                                                                                                                                                                                                                                   |
| osha_inspection             | site_zip                | Site Zip Code                  | Numeric, Length:5        | Zip                            | Postal zip code of site inspected                                                                                                                                                                                                                                                    |
| osha_inspection             | safety_const            | Safety Construction            | Alphanumeric, Length:1   | Safety Planning Guide Const    | Safety planning guide construction (X/blank)                                                                                                                                                                                                                                         |
| osha_inspection             | safety_manuf            | Safety Manufacturing           | Alphanumeric, Length:1   | Safety Planning Guide Manf     | Safety planning guide manufacturing (X/blank)                                                                                                                                                                                                                                        |
| osha_inspection             | safety_marit            | Safety Maritime                | Alphanumeric, Length:1   | Safety Planning Guide Maritime | Safety planning guide maritime (X/blank)                                                                                                                                                                                                                                             |
| osha_inspection             | safety_hlth             | Safety/Health                  | Alphanumeric, Length:1   | Safety/Health                  | Safety/Health indicator (S=Safety. H=Health)                                                                                                                                                                                                                                         |
| osha_inspection             | sic_code                | SIC                            | Numeric, Length:4        | SIC                            | SIC code                                                                                                                                                                                                                                                                             |
| osha_inspection             | site_state              | Site State                     | Alphanumeric, Length:2   | State                          | State postal abbreviation of site inspected                                                                                                                                                                                                                                          |
| osha_inspection             | site_address            | Site Street Address            | Alphanumeric, Length:50  | Address                        | Street address of site inspected                                                                                                                                                                                                                                                     |
| osha_inspection             | state_flag              | State Flag                     | Alphanumeric, Length:1   | No Label                       | The flag used to identify a State.                                                                                                                                                                                                                                                   |
| osha_inspection             | naics_code              | NAICS Code                     | Numeric, Length:6        | NAICS                          | The unique code number that is assigned to the NAICS.                                                                                                                                                                                                                                |
| osha_inspection             | activity_nr             | Activity NR                    | Numeric, Length:9        | Activity NR                    | Unique identifier for the inspection                                                                                                                                                                                                                                                 |
| osha_inspection             | owner_code              | Owner Code                     | Numeric, Length:4        | Owner Code                     | Used for owner=D only                                                                                                                                                                                                                                                                |
| osha_inspection             | adv_notice              | Advance Notice                 | Alphanumeric, Length:1   | Advance Notice                 | Y/N/blank                                                                                                                                                                                                                                                                            |
| osha_inspection             | open_date               | Open Date                      | Numeric, Length=8        | Open Date                      | Indicates when the inspection was started.                                                                                                                                                                                                                                           |
| osha_inspection             | case_mod_date           | Case Modification Date         | Numeric, Length=8        | No Label                       | Date the inspection or associated violations were last affected by updating (yyyymmdd). Note: this field was only recently added to the database to facilitate the transfer process.  Therefore. case not affected by updating in April. 2004 or later will have zero in this field. |
| osha_inspection             | insp_type               | Inspection Type                | Alphanumeric, Length:1   | Inspection Type                | A=Accident. B=Complaint. C=Referral. D=Monitoring. E=Variance. F=FollowUp. G=Unprog Rel. H=Planned. I=Prog Related. J=Unprog Other. K=Prog Other. L=Other-L. M=Fat/Cat                                                                                                               |
| osha_optional_info          | activity_nr             | Activity NR                    | Numeric, Length:9        | Activity NR                    | Identifies the parent inspection                                                                                                                                                                                                                                                     |
| osha_optional_info          | opt_type                | Optional Information Type      | Alphanumeric, Length:1   | Opt Type                       | Identifies the optional information type (only N type included)                                                                                                                                                                                                                      |
| osha_optional_info          | load_dt                 | Load Date Timestamp            | date                     | No Label                       | The date the load was completed.                                                                                                                                                                                                                                                     |
| osha_optional_info          | opt_id                  | Optional Information ID        | Numeric, Length:2        | Opt ID                         | Optional information ID                                                                                                                                                                                                                                                              |
| osha_optional_info          | opt_info_id             | Optional Information ID        | Numeric, Length:28       | Opt Info ID                    | Optional Information ID                                                                                                                                                                                                                                                              |
| osha_optional_info          | opt_value               | Optional information value     | varchar(50)              | Opt Value                      | Optional information value                                                                                                                                                                                                                                                           |
| osha_related_activity       | rel_type                | Related Activity Type          | Alphanumeric, Length:1   | Related Activity Type          | C=Complaint.I=Inspection.R=Referral.A=Accident                                                                                                                                                                                                                                       |
| osha_related_activity       | rel_act_nr              | Related Activity NR            | Numeric, Length:9        | Related Activity NR            | Activity number of the related activity                                                                                                                                                                                                                                              |
| osha_related_activity       | activity_nr             | Activity NR                    | Numeric, Length:9        | Activity NR                    | Identifies the parent inspection                                                                                                                                                                                                                                                     |
| osha_related_activity       | load_dt                 | Load Date Timestamp            | date                     | No Label                       | The date the load was completed.                                                                                                                                                                                                                                                     |
| osha_related_activity       | rel_health              | Related Activitiy Health       | Alphanumeric, Length:1   | Related Health                 | X=Yes. blank=No                                                                                                                                                                                                                                                                      |
| osha_related_activity       | rel_safety              | Related Activity Safety        | Alphanumeric, Length:1   | Related Safety                 | X=Yes. blank=No                                                                                                                                                                                                                                                                      |
| osha_related_activity       | upper_rel_safety::text_ | Upper Related Activitiy Health | char(18)                 | No Label                       | Upper Related Activitiy Health                                                                                                                                                                                                                                                       |
| osha_strategic_codes        | load_dt                 | Load Date Timestamp            | date                     | No Label                       | The date the load was completed.                                                                                                                                                                                                                                                     |
| osha_strategic_codes        | prog_value              | Program Value                  | Alphanumeric, Length:25  | Program Value                  | Code value                                                                                                                                                                                                                                                                           |
| osha_strategic_codes        | activity_nr             | Activity NR                    | Numeric, Length:9        | Activity NR                    | Identifies the parent inspection                                                                                                                                                                                                                                                     |
| osha_strategic_codes        | prog_type               | Program Type                   | Alphanumeric, Length:1   | Program Type                   | N=NEP (National Emphasis Program).L=LEP (Local Emphasis Program).S=Strategic Plan Code                                                                                                                                                                                               |
| osha_violation              | fta_issuance_date       | FTA Issuance Date              | Numeric, Length:8        | FTA Issuance Date              | FTA issuance date (yyyymmdd)                                                                                                                                                                                                                                                         |
| osha_violation              | fta_penalty             | FTA Current Penalty            | Alphanumeric, Length:10  | FTA Current Penalty            | FTA penalty (ZZZZZZ9.99)                                                                                                                                                                                                                                                             |
| osha_violation              | hazsub1                 | Hazardous Substance            | Alphanumeric, Length:4   | Hazardous Substance 1          | Hazardous substance code                                                                                                                                                                                                                                                             |
| osha_violation              | hazsub2                 | Hazardous Substance            | Alphanumeric, Length:4   | Hazardous Substance 2          | Hazardous substance code                                                                                                                                                                                                                                                             |
| osha_violation              | hazsub3                 | Hazardous Substance            | Alphanumeric, Length:4   | Hazardous Substance 3          | Hazardous substance code                                                                                                                                                                                                                                                             |
| osha_violation              | hazsub4                 | Hazardous Substance            | Alphanumeric, Length:4   | Hazardous Substance 4          | Hazardous substance code                                                                                                                                                                                                                                                             |
| osha_violation              | hazsub5                 | Hazardous Substance            | Alphanumeric, Length:4   | Hazardous Substance 5          | Hazardous substance code                                                                                                                                                                                                                                                             |
| osha_violation              | citation_id             | Citation ID                    | Alphanumeric, Length:7   | Citation Id                    | Identifies the citation number. item number. and item group of the issued citation.                                                                                                                                                                                                  |
| osha_violation              | hazcat                  | Hazard Category                | Alphanumeric, Length:10  | Hazard Category                | General industry standard hazard category                                                                                                                                                                                                                                            |
| osha_violation              | activity_nr             | Activity NR                    | Numeric, Length:9        | Activity NR                    | Identifies the parent inspection                                                                                                                                                                                                                                                     |
| osha_violation              | initial_penalty         | Initial Penalty                | Alphanumeric, Length=10  | Initial Penalty                | Initial penalty assessed (ZZZZZZ9.99)                                                                                                                                                                                                                                                |
| osha_violation              | gravity                 | Gravity                        | Alphanumeric, Length=2   | Gravity                        | Level of gravity for serious viol - 01-10. blank                                                                                                                                                                                                                                     |
| osha_violation              | abate_complete          | Abate Complete                 | Alphanumeric, Length=1   | Abate Complete                 | Q=Quick Fix.X=Abatement Completed.I=Corrected During Inspection.E=Not Completed - Employer out of business.W=Not Changed - Worksite changed.S=Not Completed - Solicitor advised.A=Not Completed - AD discretion                                                                      |
| osha_violation              | viol_type               | Violation Type                 | Alphanumeric, Length=1   | Violation Type                 | S=Serious.W=Willful.R=Repeat.O=Other                                                                                                                                                                                                                                                 |
| osha_violation              | load_dt                 | Load Date Timestamp            | date                     | No Label                       | The date the load was completed.                                                                                                                                                                                                                                                     |
| osha_violation              | standard                | Standard                       | Alphanumeric, Length=22  | Standard                       | The OSHA standard violated                                                                                                                                                                                                                                                           |
| osha_violation              | nr_instances            | Number of Instances            | Numeric, Length=5        | Instances                      | Number of instances                                                                                                                                                                                                                                                                  |
| osha_violation              | emphasis                | Emphasis                       | Alphanumeric, Length=1   | Emphasis                       | X. blank                                                                                                                                                                                                                                                                             |
| osha_violation              | nr_exposed              | Number Exposed                 | Numeric, Length=5        | Exposed                        | Number of employees exposed                                                                                                                                                                                                                                                          |
| osha_violation              | rec                     | Rec                            | Alphanumeric, Length:1   | REC                            | A=Accident.C=Complaint.I=Imminent Danger.R=Referral.V=Variance                                                                                                                                                                                                                       |
| osha_violation              | current_penalty         | Current Penalty                | Alphanumeric, Length:10  | Current Penalty                | Current penalty assessed (ZZZZZZ9.99)                                                                                                                                                                                                                                                |
| osha_violation              | delete_flag             | Delete Flag                    | Alphanumeric, Length:1   | Delete Flag                    | D=deleted                                                                                                                                                                                                                                                                            |
| osha_violation              | abate_date              | Abate Date                     | Numeric, Length:8        | Abate Date                     | Date by which the violation must be abated (yyyymmdd)                                                                                                                                                                                                                                |
| osha_violation              | contest_date            | Contested Date                 | Numeric, Length:8        | Contest Date                   | Date contested (yyyymmdd)                                                                                                                                                                                                                                                            |
| osha_violation              | issuance_date           | Issuance Date                  | Numeric, Length:8        | Issuance Date                  | Date of citation issuance (yyyymmdd)                                                                                                                                                                                                                                                 |
| osha_violation              | final_order_date        | Final Order Date               | Numeric, Length:8        | Final Order Date               | Date of final order (yyyymmdd)                                                                                                                                                                                                                                                       |
| osha_violation              | fta_contest_date        | FTA Contested Date             | Numeric, Length:8        | FTA Contest Date               | FTA contest date (yyyymmdd)                                                                                                                                                                                                                                                          |
| osha_violation              | fta_final_order_date    | FTA Final Order Date           | Numeric, Length:8        | FTA Final Order Date           | FTA final order date (yyyymmdd)                                                                                                                                                                                                                                                      |
| osha_violation              | fta_insp_nr             | FTA Inspection NR              | Numeric, Length:9        | FTA Inspection NR              | FTA inspection nr                                                                                                                                                                                                                                                                    |
| osha_violation_event        | pen_fta                 | Penalty/FTA                    | Alphanumeric, Length=1   | Penalty/FTA                    | P=Penalty. F=FTA                                                                                                                                                                                                                                                                     |
| osha_violation_event        | hist_vtype              | History Violation Type         | Alphanumeric, Length=1   | Violation Type                 | Violation type - when pen-fta=P                                                                                                                                                                                                                                                      |
| osha_violation_event        | hist_event              | History Event                  | Alphanumeric, Length=1   | Event                          | Z=Issued.P=Petition to Mod Abatement.I=Informal Settlement.A=Amendment.W=Empr Withdrew.D=Govt Dismissed.L=State Settlement.Y=State Decision.F=Formal Settlement.J=ALJ Decision.R=Review Commission.1=State Lower Court.2=Appeals Court.3=Supreme Court                               |
| osha_violation_event        | hist_date               | History Event Date             | Numeric, Length:8        | Event Date                     | Date of the event (yyyymmdd)                                                                                                                                                                                                                                                         |
| osha_violation_event        | hist_penalty            | History Penalty                | Alphanumeric, Length=10  | Penalty Amount                 | Amount assessed (ZZZZZZ9.99)                                                                                                                                                                                                                                                         |
| osha_violation_event        | hist_abate_date         | History Abate Date             | Numeric, Length:8        | Abate Date                     | Abatement date (yyyymmdd) - when pen-fta=P                                                                                                                                                                                                                                           |
| osha_violation_event        | citation_id             | Citation ID                    | Alphanumeric, Length=7   | Citation Id                    | Identifies the citation number. item number. and item group of the associated citation.                                                                                                                                                                                              |
| osha_violation_event        | activity_nr             | Activity NR                    | Numeric, Length:9        | Activity NR                    | Identifies the associated inspection                                                                                                                                                                                                                                                 |
| osha_violation_event        | hist_insp_nr            | History Inspection NR          | Numeric, Length:9        | Inspection NR                  | FTA inspection nr -when pen-fta=F                                                                                                                                                                                                                                                    |
| osha_violation_event        | load_dt                 | Load Date Timestamp            | date                     | No Label                       | The date the load was completed.                                                                                                                                                                                                                                                     |
| osha_violation_gen_duty_std | line_text               | Line Text                      | Alphanumeric, Length=80  | Line Text                      | Citation text line                                                                                                                                                                                                                                                                   |
| osha_violation_gen_duty_std | activity_nr             | Activity NR                    | Numeric, Length=9        | Activity NR                    | Identifies the associated inspection                                                                                                                                                                                                                                                 |
| osha_violation_gen_duty_std | citation_id             | Citation ID                    | Alphanumeric, Length=7   | Citation ID                    | Identifies the citation number. item number. and item group of the associated citation.                                                                                                                                                                                              |
| osha_violation_gen_duty_std | line_nr                 | Line NR                        | Numeric, Length=6        | Line NR                        | Identifies the relative line in the citation text represented by Line-text.                                                                                                                                                                                                          |
| osha_inspection             | nr_in_estab             | Number of Employees            | Numeric, Length:5        | Number in Establishment        | Number of employees in establishment                                                                                                                                                                                                                                                 |
| osha_inspection             | why_no_insp             | Why No Inspection              | Alphanumeric, Length:1   | Why No Inspection              | A=No Insp/Not Found.B=No Insp/Out of Business.C=No Insp/Process Inactive.D=No Insp/10 or Fewer Empe.E=No Insp/Denied Entry.F=No Insp/SIC not on PG.G=No Insp/Exempt Voluntary.H=No Insp/NonExempt Consult.I=No Insp/Other.J=No Insp/Employer Exempted By Appropriation Act           |
